City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,khanty-mansiysk,61.0042,69.0019,14.11,73,0,0.0,RU,1698497986
151,port mathurin,-19.6833,63.4167,77.09,75,14,7.02,MU,1698497987
152,villa gesell,-37.2639,-56.973,69.03,61,3,5.95,AR,1698497987
153,badiyah,22.45,58.8,87.85,35,93,10.22,OM,1698497989
154,udachny,66.4167,112.4,2.48,98,73,7.78,RU,1698497990
155,norderney,53.7,7.15,54.18,88,100,16.15,DE,1698497994
156,ghanzi,-21.5667,21.7833,94.59,15,94,3.24,BW,1698497995
157,vilyuchinsk,52.9306,158.4028,38.93,75,100,4.18,RU,1698497997
158,manokwari,-0.8667,134.0833,79.61,81,100,4.5,ID,1698497998
159,suva,-18.1416,178.4415,76.48,83,75,0.0,FJ,1698497958
160,ola,59.5833,151.2833,16.14,70,89,6.8,RU,1698497999
161,bagaha,27.1,84.0833,75.34,53,100,4.52,IN,1698498000
162,nemuro,43.3236,145.575,52.59,78,33,2.06,JP,1698498003
163,las palmas,28.4204,-14.0131,75.99,61,20,12.66,ES,1698498008
164,isangel,-19.55,169.2667,74.32,90,75,8.57,VU,1698498011
165,port lincoln,-34.7333,135.8667,51.73,74,11,7.92,AU,1698498013
166,thohoyandou,-22.9456,30.485,97.16,14,10,8.66,ZA,1698498015
167,tursunzoda,38.5144,68.2333,72.43,28,100,3.36,TJ,1698498017
168,fort st. john,56.2499,-120.8529,13.42,89,91,3.62,CA,1698498021
169,posto fiscal rolim de moura,-13.0833,-62.2667,87.49,53,100,5.01,BR,1698498022
170,palmas,-10.2128,-48.3603,99.21,30,8,5.03,BR,1698498025
171,upington,-28.4478,21.2561,83.32,13,26,16.4,ZA,1698498026
172,prince rupert,54.3161,-130.3201,36.97,59,8,4.21,CA,1698498029
173,grand falls-windsor,48.9332,-55.6649,46.51,95,100,1.01,CA,1698498032
174,kismayo,-0.3582,42.5454,83.84,68,12,12.95,SO,1698498033
175,praia da vitoria,38.7333,-27.0667,67.75,74,100,19.48,PT,1698498037
176,brookings,44.3114,-96.7984,22.05,93,100,6.93,US,1698498038
177,ilulissat,69.2167,-51.1,24.82,86,100,10.36,GL,1698498040
178,chiredzi,-21.05,31.6667,101.35,15,0,8.9,ZW,1698498042
179,yarmouth,41.7057,-70.2286,65.97,93,0,5.01,US,1698498044
180,kalmunai,7.4167,81.8167,81.03,75,90,5.48,LK,1698498046
181,clear lake,43.138,-93.3794,29.93,83,100,12.66,US,1698498047
182,bozeman,45.6796,-111.0386,10.89,89,100,0.0,US,1698498048
183,taltal,-25.4,-70.4833,63.28,66,9,5.77,CL,1698498049
184,valley city,46.9233,-98.0032,16.32,100,0,10.36,US,1698498050
185,lexington,37.9887,-84.4777,64.4,92,100,5.75,US,1698497938
186,la ligua,-32.4524,-71.2311,57.67,71,100,2.8,CL,1698498054
187,saudarkrokur,65.7461,-19.6394,35.26,81,92,5.82,IS,1698498055
188,tozkhurmato,34.8905,44.6299,86.59,25,25,7.92,IQ,1698498056
189,cidreira,-30.1811,-50.2056,69.87,87,100,10.42,BR,1698498057
190,pontiac,42.6389,-83.2911,51.82,86,100,10.36,US,1698498058
191,new norfolk,-42.7826,147.0587,51.93,91,3,6.46,AU,1698498060
192,coyhaique,-45.5752,-72.0662,38.61,100,100,4.18,CL,1698498062
193,sabzevar,36.2126,57.6819,75.56,24,100,7.31,IR,1698498063
194,prince albert,53.2001,-105.7677,16.68,81,19,7.2,CA,1698498071
195,chinde,26.8418,88.0763,58.26,79,18,4.12,NP,1698498073
196,margaret river,-33.95,115.0667,57.92,69,100,10.98,AU,1698498075
197,khao yoi,13.2403,99.8243,80.85,82,42,3.91,TH,1698498076
198,bor,56.3567,44.0669,32.0,95,100,11.77,RU,1698498077
199,serov,59.6033,60.5787,22.48,76,20,4.68,RU,1698498078
200,nantucket,41.2835,-70.0995,65.01,88,0,13.85,US,1698498079
201,sao joao da barra,-21.6403,-41.0511,76.35,86,100,5.01,BR,1698498080
202,ormara,25.2088,64.6357,82.56,69,0,11.3,PK,1698498082
203,cuero,29.0939,-97.2892,76.44,96,29,6.11,US,1698498083
204,burang,30.25,81.1667,37.51,75,100,4.41,CN,1698498084
205,hermanus,-34.4187,19.2345,59.77,61,96,18.03,ZA,1698498085
206,puerto ayacucho,5.6639,-67.6236,82.67,74,99,3.6,VE,1698498086
207,kokkola,63.8385,23.1307,30.92,65,0,0.0,FI,1698498088
208,bardai,11.65,7.2333,91.9,16,7,6.4,NG,1698498089
209,tres palos,18.1833,-101.6167,71.74,96,100,2.48,MX,1698498090
210,sitangkai,4.6628,119.3928,83.55,67,9,1.16,PH,1698498091
211,arraial do cabo,-22.9661,-42.0278,78.66,78,75,13.8,BR,1698498092
212,invercargill,-46.4,168.35,46.02,90,47,1.99,NZ,1698498044
213,rio san juan,19.6439,-70.0763,80.1,74,74,1.81,DO,1698498096
214,saint-pol-de-leon,48.6833,-3.9833,59.76,94,75,10.36,FR,1698498097
215,den helder,52.9599,4.7593,55.38,87,75,20.0,NL,1698497923
216,malvan,16.0667,73.4667,82.15,67,4,9.71,IN,1698498100
217,nanakuli,21.3906,-158.1547,74.43,72,13,6.55,US,1698498102
218,touros,-5.1989,-35.4608,84.52,56,19,19.17,BR,1698498103
219,coquimbo,-29.9533,-71.3436,58.51,73,9,2.86,CL,1698498106
220,kavieng,-2.5744,150.7967,81.66,81,3,13.94,PG,1698498107
221,west bay,19.3667,-81.4167,82.99,78,1,4.0,KY,1698498109
222,lompoc,34.6391,-120.4579,53.92,79,0,21.0,US,1698498110
223,ko pha ngan,9.7578,100.0291,79.57,70,66,4.34,TH,1698498113
224,egilsstadir,65.2653,-14.3948,37.58,91,96,4.41,IS,1698498114
225,thinadhoo,0.5333,72.9333,81.41,82,8,15.05,MV,1698498116
226,somerset east,-32.7217,25.588,54.68,59,100,15.57,ZA,1698498118
227,akobo,7.4344,3.9497,88.72,54,39,4.14,NG,1698498120
228,hasaki,35.7333,140.8333,59.4,66,6,9.53,JP,1698498121
229,flying fish cove,-10.4217,105.6791,78.48,83,75,10.36,CX,1698498123
230,pego,38.8527,-0.09,78.57,43,0,7.87,ES,1698498125
231,kingston,17.997,-76.7936,81.21,89,0,4.0,JM,1698498126
232,alexandria,31.2156,29.9553,82.94,56,0,11.56,EG,1698497860
233,huinan,42.6225,126.2614,40.5,47,19,4.05,CN,1698498128
234,puerto san jose,13.9256,-90.8244,76.53,81,47,5.28,GT,1698498130
235,ulety,51.3572,112.4849,34.97,58,96,13.98,RU,1698498132
236,taber,49.8167,-112.1518,16.16,76,90,13.11,CA,1698498133
237,jayapura,-2.5333,140.7,83.59,88,25,3.06,ID,1698497978
238,padang,-0.9492,100.3543,78.08,90,43,4.63,ID,1698498116
239,progreso,21.2833,-89.6667,77.11,84,94,8.63,MX,1698498135
240,lihue,21.9789,-159.3672,70.84,75,69,4.83,US,1698498136
241,quellon,-43.1167,-73.6167,43.52,89,100,16.49,CL,1698498137
242,sisimiut,66.9395,-53.6735,23.7,77,74,12.44,GL,1698498139
243,tabuk,17.4189,121.4443,74.68,88,38,3.8,PH,1698497946
244,port isabel,26.0734,-97.2086,79.02,84,0,1.99,US,1698498141
245,fort stockton,30.894,-102.8793,67.75,85,100,3.44,US,1698498142
246,kapit,2.0167,112.9333,74.77,98,86,1.39,MY,1698498144
247,geraldton,-28.7667,114.6,64.81,77,0,19.57,AU,1698498104
248,belo sur tsiribihina,-19.7,44.55,86.76,51,0,15.26,MG,1698498145
249,queenstown,-31.8976,26.8753,50.85,75,100,11.27,ZA,1698498020
250,naze,28.3667,129.4833,67.12,62,6,11.23,JP,1698497960
251,aasiaat,68.7098,-52.8699,21.7,90,100,9.44,GL,1698498150
252,dudinka,69.4058,86.1778,8.67,99,97,3.0,RU,1698498151
253,mikun',62.3547,50.0771,24.13,82,100,8.46,RU,1698498152
254,chatillon-sur-seine,47.8585,4.5738,56.86,81,100,17.47,FR,1698498153
255,oblivskaya,48.5362,42.5014,67.03,67,10,22.59,RU,1698498154
256,fort bragg,35.139,-79.006,66.81,89,0,1.99,US,1698498159
257,malango,-2.9627,119.9001,66.49,66,100,2.59,ID,1698498161
258,lashio,22.9333,97.75,65.8,95,4,1.21,MM,1698498162
259,barra de santo antonio,-9.4047,-35.5072,87.08,60,100,13.2,BR,1698498164
260,nowy dwor gdanski,54.2131,19.1177,49.14,71,100,3.76,PL,1698498165
261,la'ie,21.6477,-157.9253,73.42,83,6,6.53,US,1698498166
262,oswego,43.4501,-76.1497,68.14,94,99,1.01,US,1698498167
263,princeton,25.5384,-80.4089,82.42,77,100,9.22,US,1698498168
264,ha'il,27.5219,41.6907,83.71,26,87,2.06,SA,1698498169
265,san antonio de pale,-1.4014,5.6325,79.59,79,8,13.29,GQ,1698498170
266,dunedin,-45.8742,170.5036,47.8,68,48,3.0,NZ,1698498171
267,panji,-7.7253,114.0995,79.38,68,42,5.08,ID,1698498172
268,las vegas,36.175,-115.1372,60.42,35,0,13.0,US,1698498173
269,altai,46.3722,96.2583,31.59,49,51,1.9,MN,1698498175
270,polyarnyy,69.1989,33.4478,26.69,86,100,5.53,RU,1698498176
271,aioun,16.6614,-9.6149,100.89,13,21,9.89,MR,1698498177
272,doka,13.5167,35.7667,86.94,47,45,7.96,SD,1698498178
273,canillo,42.5833,1.6667,55.09,67,21,7.45,AD,1698498179
274,tadpatri,14.9167,78.0167,84.4,56,93,7.83,IN,1698498180
275,pingliang,35.5392,106.6861,55.85,66,0,4.23,CN,1698498135
276,gebeit,21.0667,36.3167,79.95,60,37,9.46,SD,1698498183
277,presidente venceslau,-21.8761,-51.8439,84.24,57,100,12.8,BR,1698498184
278,ganjam,19.3833,85.0667,78.03,61,0,2.37,IN,1698498185
279,vadso,70.0744,29.7487,30.36,74,75,8.05,NO,1698498187
280,chernyshevskiy,63.0128,112.4714,17.74,82,41,10.42,RU,1698498188
281,iskateley,67.6803,53.1512,10.02,90,61,8.01,RU,1698498191
282,homer,59.6425,-151.5483,40.8,78,100,8.99,US,1698498194
283,colonia,50.9333,6.95,60.96,67,75,14.97,DE,1698498181
284,tolanaro,-25.0319,46.9987,78.22,73,2,19.93,MG,1698498195
285,urzhar,47.093,81.6294,41.22,73,100,7.38,KZ,1698498068
286,ilam,26.9167,87.9167,61.56,86,28,2.93,NP,1698498197
287,vyborg,60.7076,28.7528,32.61,81,91,8.59,RU,1698498198
288,brisas de zicatela,15.8369,-97.0419,73.92,73,40,9.22,MX,1698498202
289,cambria,35.5641,-121.0808,57.61,53,0,4.9,US,1698498204
290,baiti,13.745,-14.7482,95.59,39,72,8.9,SN,1698498206
291,road town,18.4167,-64.6167,80.44,83,100,29.1,VG,1698498207
292,harper,4.375,-7.7169,81.91,75,97,8.97,LR,1698498209
293,afif,23.9065,42.9172,85.37,17,69,12.08,SA,1698498210
294,bengkulu,-3.8004,102.2655,76.14,92,83,5.35,ID,1698498211
295,siwa oasis,29.2041,25.5195,87.96,25,7,4.88,EG,1698498212
296,broken hill,-31.95,141.4333,67.71,15,0,6.78,AU,1698498113
297,paka,4.6374,103.4368,80.98,79,71,3.56,MY,1698498214
298,papao,-17.75,-149.55,74.88,78,100,1.54,PF,1698498216
299,akureyri,65.6835,-18.0878,35.1,87,95,3.74,IS,1698498217
300,cova figueira,14.8905,-24.2934,76.96,77,97,17.27,CV,1698498218
301,fraserburgh,57.6874,-2.0184,49.12,84,89,29.95,GB,1698498219
302,houghton,47.1219,-88.569,38.82,78,20,10.36,US,1698498221
303,fang,19.9169,99.2145,71.96,96,100,0.43,TH,1698498222
304,cold lake,54.4502,-110.2017,22.21,66,100,8.03,CA,1698498223
305,lucapa,-8.4192,20.7447,83.62,50,51,2.98,AO,1698498224
306,bayanhongor,46.7167,100.1167,29.82,53,26,3.31,MN,1698498225
307,salahonda,2.1019,-78.7217,75.07,94,100,8.52,CO,1698498226
308,cabedelo,-6.9811,-34.8339,82.74,61,37,17.47,BR,1698498228
309,gering,41.8258,-103.6605,25.81,90,100,11.01,US,1698498229
310,utran,21.2333,72.8667,84.09,58,32,5.75,IN,1698498230
311,kerouane,9.2667,-9.0167,88.45,47,55,4.61,GN,1698498232
312,turiacu,-1.6633,-45.3717,90.93,49,10,9.28,BR,1698498234
313,novaya igirma,57.1334,103.9112,24.01,51,40,9.71,RU,1698498236
314,zag,46.9441,99.165,31.82,49,14,5.19,MN,1698498237
315,itaituba,-4.2761,-55.9836,95.11,33,8,6.24,BR,1698498239
316,berdigestyakh,62.0989,126.6992,29.08,98,100,6.53,RU,1698498240
317,al muwayh,22.4333,41.7583,84.43,29,100,10.69,SA,1698498242
318,tralee,52.2704,-9.7026,55.65,82,75,6.91,IE,1698498244
319,hillsboro,45.5229,-122.9898,38.91,79,0,4.61,US,1698498245
320,hilo,19.7297,-155.09,70.25,92,3,3.0,US,1698498161
321,tofol,5.3248,163.0078,83.26,74,27,10.45,FM,1698498248
322,libertad,8.9442,125.5019,75.54,92,8,2.19,PH,1698498251
323,dunbar,38.3606,-81.7374,68.22,94,75,4.61,US,1698498252
324,bhadrachalam,17.6667,80.8833,76.96,82,71,3.69,IN,1698498254
325,chemin grenier,-20.4872,57.4656,77.54,73,40,7.58,MU,1698498255
326,robore,-18.3333,-59.75,93.65,38,89,16.13,BO,1698498256
327,vakarai,55.6035,23.8213,34.32,78,100,9.22,LT,1698498257
328,mokhsogollokh,61.4681,128.9203,26.22,73,100,6.8,RU,1698498259
329,bodo,67.28,14.405,33.94,95,75,6.91,NO,1698498260
330,ataq,14.5377,46.8319,79.93,44,69,2.46,YE,1698498261
331,hamilton,39.1834,-84.5333,66.83,94,100,18.41,US,1698497981
332,bani walid,31.7566,13.9942,88.05,16,0,3.36,LY,1698498265
333,minas de marcona,-15.2119,-75.1103,58.5,85,96,9.62,PE,1698498266
334,shenjiamen,29.9576,122.298,67.06,61,7,7.9,CN,1698498267
335,pogranichnyy,44.4064,131.3769,36.37,48,7,2.91,RU,1698498268
336,yarkovo,57.4028,67.0786,20.16,92,16,3.6,RU,1698498268
337,nar'yan-mar,67.6713,53.087,10.11,90,59,8.01,RU,1698498270
338,arno,60.1167,18.6333,35.78,63,97,8.59,SE,1698498271
339,yueyang,29.3333,113.0919,67.95,66,97,2.33,CN,1698497989
340,burutu,5.3509,5.5076,86.72,65,52,7.61,NG,1698498272
341,mount pearl,47.5166,-52.7813,48.85,97,100,19.57,CA,1698498273
342,dellys,36.9172,3.9131,72.01,63,3,9.8,DZ,1698498275
343,lobva,59.1854,60.5185,23.09,76,55,4.97,RU,1698498276
344,nemyriv,48.9708,28.8378,58.41,62,74,17.43,UA,1698498277
345,prado,-17.3411,-39.2208,80.42,73,88,5.91,BR,1698498278
346,chiang mai,18.75,99.0,78.87,83,40,3.44,TH,1698498071
347,oranjemund,-28.55,16.4333,63.63,62,0,29.71,NA,1698498069
348,sinan,34.8262,126.1086,63.97,69,37,3.83,KR,1698498283
